id,customer_msg,brand_reply_ref,suggested_intent,intent,should_escalate,escalation_reason,notes
gs_001,"How do, I received a notification to re authorise my apple order, but each time I try my card it declines to authorise, phoned bank and they say its not a problem on their end, any ideas?",We completely understand wanting to make sure your order goes through properly. Please contact our Online Sales Support Team here: They will be able to assist you further with any questions you have about the order.,order_and_delivery,payment_and_billing,no,,
gs_002,"Continued...... I wake up this morning to a notification stating it won’t be shipped until January 01-24, 2018!!!!!!! WTH",We would like to point you in the right direction. Please reach out to our Sales Support Team here:,order_and_delivery,order_and_delivery,no,,
gs_003,my iPhone 6 stops recognizing my finger(home button works) about once every 15 minutes and I have to hard reset my phone 2 fix,We'd love to help you! We'd like to look into this further with you. Send us a DM to get started.,hardware_and_accessories,hardware_and_accessories,no,,
gs_004,"setting up a replacement iPhone and your verification put it in a different state, should I just accept it? Why include that info if it's so wrong?",Let's look into this and find out what is going on. DM us the details of exactly what you are doing and we'll take a look.,account_and_password,account_and_password,no,,
gs_005,Seems to only be through Spotify,Are there any updates available for your app? You can check by going to App Store > Updates. DM us if the issue continues.,app_and_store_issue,app_and_store_issue,no,,
gs_006,"Hey, will I be able to get iPhone X next week in HK? Because it's unavailable for pre-order. Going there next week.",Hey there. We suggest reaching out to Apple Authorized Resellers to see if this might be possible:,order_and_delivery,order_and_delivery,no,,
gs_007,Awesome thanks for the quick reply,"Sure thing, glad to help!",product_and_feature_question,feedback_and_complaint,no,,
gs_008,Hey is there any reason for suddenly losing 300+ GB from the 512 GB internal flash HDD on an MBP late 2013? On reboot I've been even asked to set up a new account. Trying to keep calm but this is beyond outrageous. I can provide logs if you want.,"Let's get to the bottom of this together. Did this occur suddenly, or after making some system changes or updates? Have you had a chance to restart into macOS Recovery and scan your MacBook's hard drive? If not, let's do so now. Here's a guide:",account_and_password,device_performance,no,,
gs_009,"Yep I use it, can access photos from browser if I log into","Thank you for letting us know. We know how important your photos are. Take a look at this article: If you're still having issues, please reach out to our Photos experts with this link: Select Apps & Software",data_and_privacy,data_and_privacy,no,,
gs_010,when will this os11 be fixed? It’s terrible my 7plus is running poor now. disappointed,"Thanks for connecting with us on Twitter. If you don't mind, we'd love to offer some assistance and look into your concern with the performance of your iPhone 7. Can you let us know the full version of the iOS? Send us a DM.",feedback_and_complaint,software_bug,no,,
gs_011,I️ can’t stop my keyboard from doing this,Here’s what you can do to work around the issue until it’s fixed in a future software update:,product_and_feature_question,software_bug,no,,
gs_012,Looks like I’m having signal/WiFi problems. Bluetooth turns its self on whenever it wants. And a couple of other things.,We understand the importance of your Wi-Fi and Bluetooth connection and want to help. Let's continue in DM.,connectivity_issue,connectivity_issue,no,,
gs_013,One of y’all finna catch this fade unless y’all fix my phone 😤,We'd like to help. What is going on with your phone?,product_and_feature_question,software_bug,no,,
gs_014,at 8 AM battery was 100% now it’s 12 PM and it’s already at 20% 💀🤷🏻‍♂️,"We know the importance of battery-life, and we'd like to help. Please send us a DM, and we'll get started.",battery_issue,battery_issue,no,,
gs_015,I have a reservation number but want to change payment method. Will that change my delivery date?,We can get you to the right team for an answer. You'll want to reach out to online sales support:,order_and_delivery,order_and_delivery,no,,
gs_016,my freaking icloud backed up everything from 2015/16 and all the old pics of my ex i deleted CAME BACK fix it,We understand your concern and would like to help you. Send us a DM to get started.,account_and_password,data_and_privacy,no,,
gs_017,help me!! tive q voltar pro Nokia pq esqueci a senha do icloud e bloqueei meu iphone!,"Since our Twitter support is available in English, get help at or join",account_and_password,account_and_password,no,,
gs_018,Updated iphone 7+ and now it wont go to speaker phone during calls nor will shortcuts control my music player.,Let's see what we can find today. Which version of iOS did you update to? Have you restarted your iPhone since noticing this?,hardware_and_accessories,software_bug,no,,
gs_019,My phone is on charge but it’s losing battery.. Nice one 👌🏻,"Thank you for reaching out to us. Let’s work together to find the best course of action for this issue. To start, what device model and software version are you using?",battery_issue,battery_issue,no,,
gs_020,Seems to be a bug with new high sierra update - media buttons no longer control background iTunes music but instead respond to current foreground app (ie. safari)- is this a bug or just a crap intentional change?,"Thanks for reaching out about the changes to the function keys for controlling multimedia. If you have a moment, we would greatly appreciate your recommendations and suggestions via our website:",software_bug,software_bug,no,,
gs_021,"IP Television App is not working with me , there’s a solution? or Could I refund my money?",Best bet would be to reach out to that apps developer via their App Store page.,payment_and_billing,app_and_store_issue,yes,Refund request for an app purchase requires billing review.,
gs_022,"Yes from the control center. From yesterday i have observed if i keep my phone locked for some time and unlock it, wifi is on automatically",This is expected in iOS 11. You can read more about Wi-Fi in Control Center with iOS 11 here:,connectivity_issue,connectivity_issue,no,,
gs_023,"I️ normally don’t complain about any company on social media, but Apple should not make software mistakes like this.",Please let us know what's going on with your iPhone in DM. We'd love to offer our support and get those bugs gone.,feedback_and_complaint,feedback_and_complaint,no,,
gs_024,"even after restarting, its still doing it. i’ll try redownloading it in a moment!",Sounds good. Keep us posted.,device_performance,app_and_store_issue,no,,
gs_025,why do lock screen notifications look like this now?,We can help. Does this happen with all notifications from all apps or just certain ones?,hardware_and_accessories,product_and_feature_question,no,,
gs_026,"my phone contacts are no longer linking with their numbers, it says ‘maybe: their name’ and some of them when they text it doesn’t come up with their name, just their number",We'd love to look into this further with you to figure out what's going on. Where are you seeing the 'maybe' option? Is this in the Contacts app or only in Messages? Which version of iOS are you running in Settings > General > About > Version?,data_and_privacy,software_bug,no,,
gs_027,"Hey I️ would really appreciate it if you can fix my I️ on my texts, emails and messaging. I️ am feeling like it should be fixed....",Here’s what you can do to work around the issue until it’s fixed in a future software update:,product_and_feature_question,software_bug,no,,
gs_028,"i solve my self the problem, change the root password, but is unbeliable this default root without password is the worst security measure by default, shame on you Apple.","Please meet us in DM by clicking the link below, as we have further guidance on this topic that we would like to share with you.",account_and_password,account_and_password,no,,
gs_029,"The only way I would have had Pandora on this phone, is if it came preloaded from the factory, but have since deleted it.","Are you an Apple Music or iTunes Match member? If Pandora is not installed, do you use any other audio apps on the iPhone?",data_and_privacy,app_and_store_issue,no,,
